飞周兄弟 | 还不认亲？ | Region | hate [END]
广黑吧 | 没了吗？ | Region | non-hate [END]
卫辉官媒 | 错误 | non-hate | non-hate [END]
男权 | 男女平权 | non-hate | non-hate [END]
这 | 很niggeг | Racism | hate [END]
你 | 追求男女平等 | non-hate | non-hate [END]
中国人 | 不会吃政治正确那一套 | non-hate | non-hate [END]
中国人 | 吹黑人性能力 | non-hate | non-hate [END]
田楠 | 骗婚骗炮 | Sexism | hate [END]
这个视频 | 比较恶臭 | others | hate [END]
答主 | 也该滚出中国 | Region | hate [END]
异性恋 | 理解＋不接受 | non-hate | non-hate [END]
广东 | 常常刮台风，下大雨，最多也只是水浸街 | non-hate | non-hate [END]
有人 | 甚至会和女拳站一边 | Sexism | hate [END]
黑化 | 法国也完蛋了 | Region | hate [END]
带头的 | 恰烂钱 | non-hate | non-hate [SEP] 跟风的 | 铁nt | non-hate | non-hate [END]
她 | 从中国公司赚取的钱越多，她的跨种族跨文化优越感就会变得越充实，就会越相信黑人的社会文化 | Sexism, Racism | hate [END]
阿三 | 四处黑公交 | Region | hate [SEP] 日本 | 低欲望是因为自身人民变得太懒了 | Region | hate [SEP] 女的 | 只喜欢嫁给有钱人 | Sexism | hate [END]
它 | 网络安全举报网址举报它送它上西天 | non-hate | non-hate [END]
混血儿 | 聪明没有任何科学依据 | non-hate | non-hate [END]
吧主 | 别犯贱乱删 | non-hate | non-hate [END]
你 | 南满 | non-hate | non-hate [END]
既得利益者 | 责备被剥削者 | non-hate | non-hate [END]
湖北和陕西 | 嘴里说什么我都不稀奇 |  Region | hate [END]
男性 | 会把女性折服 | Sexism | hate [SEP] 暖男 | 被认为是舔狗 | Sexism | hate [END]
汉一点的电影或者影视作品 | 打压 | Region | hate [SEP] 美国 | 文化渗入这方面，美国做的很成功 | Region | hate [END]
钓鱼佬 | 永不空军😜 | non-hate | non-hate [END]
亚非拉 | ◎◎◎ | Region | hate [END]
地域黑 | 没新疆吗😅😅 | Region | hate [END]
东北人 | 肯定反驳力度差 | non-hate | non-hate [END]
友军 | 厚葬 | non-hate | non-hate [END]
西戎 北狄 南蛮 东夷 | 没一个是好听的 | non-hate | non-hate [END]
老一辈 | 确实是这样的 | non-hate | non-hate [END]
智商 | 硬伤 | non-hate | non-hate [END]
我 | 詹姆斯的球迷 | non-hate | non-hate [END]
钕全钕全 | 老掉牙 | Sexism | hate [END]
她們家族男性 | 清算 | Sexism | hate [END]
杨笠们 | 嘴里的普却信❤️❤️❤️ | Sexism | hate [END]
你 | 不介意么 | non-hate | non-hate [END]
尼 | 去一起有尼的地方~ | Racism, others | hate [END]
白左 | 少跟他们来往 | Racism | hate [END]
非洲 | 一到非洲直接就qj，把你搞怀孕 | Sexism, Racism | hate [END]
东北 | 不抵抗，就是没有血性 | Region | hate [END]
默默默默三 | 被默默默默三通过，弄不好还有艾滋 | LGBTQ, others | hate [END]
广c人 | 喜欢 | non-hate | non-hate [END]
王者荣耀 | 要做的速速 | non-hate | non-hate [END]
新疆人 | 被歧视 | non-hate | non-hate [END]
你 | 坏蛋 | others | hate [END]
黑人 | 严重不符合我的审美 | Racism | hate [END]
他们 | 没有智商 | non-hate | non-hate [END]
我 | 不能跟你说得太细 | non-hate | non-hate [END]
我 | 是来加入你们的惹 | non-hate | non-hate [END]
他 | 物种歧视 | Racism | hate [END]
中国 | 不是男人的中国 | Sexism | hate [END]
中国14亿人 | 总得有点奇葩 | non-hate | non-hate [END]
你 | 在东北😄 | non-hate | non-hate [END]
你 | 是gay？ | non-hate | non-hate [END]
黑种人 | 智商 | Racism | hate [SEP] 黄种人 | 体格 | Racism | hate [END]
前妻 | 再生小孩就不会对孩子好了 | Sexism | hate [SEP] 她家 | 财产都是自己孩子的了 | Sexism | hate [END]
拿刀的女人 | 比强壮的空手男人战斗力高 | Sexism | hate [END]
他 | 矮姿患者 | others | hate [END]
大家 | 没办法完全对取向这种东西有清晰认知 | non-hate | non-hate [END]
这些女的 | 坚定的女拳🐶 | Sexism | hate [END]
同性恋和异性恋 | 都是真爱 | non-hate | non-hate [END]
河南人 | 不太平 | Region | hate [END]
接盘侠 | 一位优秀的接盘侠👍👍 | Sexism | hate [END]
你们 | 去s | non-hate | non-hate [END]
基佬 | N待小动物 | LGBTQ | hate [END]
网址 | 以下是网址 | non-hate | non-hate [END]
黑人 | 受到慰籍就不会伤害其他女孩 | Racism | hate [SEP] 中国女孩 | 找黑人都是自愿的 | Sexism, Racism | hate [SEP] 黑人 | 潜伏期6-8年，病毒携带者根本查不出来 | Racism, others | hate [END]
上海本地那男的 | 真心不行 | Region | hate [SEP] 上海土著 | 曹可凡 | Region | hate [END]
中国 | 不是男人的中国 | Sexism | hate [END]
南美棉花小黑马 | 南美棉花小黑马 | non-hate | non-hate [END]
小仙女 | 不打扰小仙女了 | Sexism | hate [END]
理客中 | 是这样的 | non-hate | non-hate [END]
回族 | 在中文网络上名声不太好 | non-hate | non-hate [END]
黑人 | 智慧低下 | Racism | hate [END]
东北人 | 喜欢骂人吹币 | Region | hate [END]
你 | 搁这发鬼图呢？ | non-hate | non-hate [END]
黑龙江人 | 歧视辽宁吉林人 | Region | hate [END]
老黑 | 刚从树上下来没几天 | Racism | hate [SEP] 老黑 | 基因跟咱就不是一个色? | Racism | hate [END]
北方 | 在古代都南迁了 | non-hate | non-hate [END]
黑人 | 不把黑人画在择偶范围内😅 | Racism | hate [END]
江苏省 | 歧视的 | Region | hate [END]
你 | 自己都把自己放在弱势群体一栏 | non-hate | non-hate [END]
他们 | 一群闲人 | non-hate | non-hate [END]
东北话 | 去上海工作吧 | non-hate | non-hate [END]
黑人妹子 | 为啥不找个黑人妹子做女朋友？ | Sexism, Racism | hate [END]
泥革 | 能算是人？？ | Racism | hate [END]
河南小姑娘 | 极度自律 | non-hate | non-hate [END]
能发这评论的 | 尼葛 | non-hate | non-hate [END]
你 | 真担心你身体吃不消 | Sexism | hate [END]
处女 | 把处女改成必需 | Sexism | hate [END]
西安 | 你把西安放哪了😅 | non-hate | non-hate [END]
日本人韩国人 | 我也是膈应的 | Region | hate [END]
南方矮矬子 | 歧视 | Region | hate [SEP] 外地土老帽 | 歧视 | Region | hate [END]
你 | 能忍就忍 | non-hate | non-hate [END]
