飞周兄弟 | 不认亲、袭击 | non-hate | non-hate [END]
广黑吧 | 询问是否没了 | Region | hate [END]
卫辉官媒 | 有错误 | non-hate | non-hate [SEP] 你 | 可能在造谣 | non-hate | non-hate [END]
污名化男权的人 | 不应该污名化男权，男权是男女平权 | Sexism | non-hate [END]
这位答主 | 该滚出中国 | others | hate [END]
异性恋 | 理解＋不接受 | non-hate | non-hate [END]
广东 | 常常刮台风、下大雨，最多只是水浸街，需要检讨 | non-hate | non-hate [END]
有人 | 为了骂原会和女拳站一边 | others | hate [END]
吧主 | 犯贱乱删 | others | hate [END]
你 | 南满 | Region | hate [END]
既得利益者 | 指责被剥削者 | others | hate [END]
湖北和陕西相关人群 | 觉得他们嘴里说什么都不稀奇 | Region | hate [END]
友军 | 没有加狗头 | non-hate | non-hate [END]
西戎、北狄、南蛮、东夷 | 没一个是好听的 | Region | hate [END]
老一辈、母亲、年轻人 | 大多数情况母亲做家务收拾且这种情况不适用年轻人 | non-hate | non-hate [END]
NULL | 智商是硬伤 | non-hate | non-hate [END]
詹姆斯 | 自己是其球迷 | non-hate | non-hate [END]
白左 | 要殖民我们 | others | hate [END]
去非洲的人 | 去非洲可能面临买卖媳妇、被qj搞怀孕且没办法应对等危险情况 | Region | hate [END]
南方人 | 南方人的祖先从河南逃过去，有血性的不会逃到南方 | Region | hate [SEP] 东北 | 东北不抵抗，就是没有血性 | Region | hate [END]
小三 | 弄不好还有艾滋 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我来加入你们 | non-hate | non-hate [END]
他 | 物种歧视 | non-hate | non-hate [END]
NULL | 反对将中国只视为男人的中国 | Sexism | non-hate [END]
NULL | 中国14亿人总得有点奇葩 | non-hate | non-hate [END]
他 | 是矮姿患者 | non-hate | non-hate [END]
LGBTQ群体相关的人 | 在大家没有办法完全对取向这种东西有清晰认知的时候，走老的路子是最好的解决办法。不反对已经是最好的态度了 | LGBTQ | hate [END]
这些女的 | 女拳🐶 | Sexism | hate [END]
同性恋和异性恋 | 都是真爱 | non-hate | non-hate [END]
上海本地那男的 | 真心不行 | Region | hate [SEP] 曹可凡 | 在背后搞事挤兑走王自健和金星 | Region | hate [END]
部分男性 | 部分男性不应有不当态度或行为 | non-hate | non-hate [END]
南美小黑 | 小黑 | Racism | hate [END]
小仙女 | 外娶好，不打扰小仙女了 | Sexism | hate [END]
老黑 | 刚从树上下来没几天，要不是跟人类没有生殖隔离，都可以定义为类人猿，基因跟咱就不是一个色，是动物 | Racism | hate [SEP] 嫁给老黑还光荣的大陆妇女 | 全世界觉得嫁给老黑还光荣的也就大陆妇女 | Racism | hate [END]
北方地区相关群体 | 在古代都南迁了 | non-hate | non-hate [END]
黑人 | 不把黑人画在择偶范围内 | Racism | hate [END]
能发这评论的人 | 尼葛 | Racism | hate [END]
你 | 白天接完富婆，晚上还要给男男老板解闷 | non-hate | non-hate [END]
女性 | 把处女改成必需 | Sexism | hate [END]
你 | 没把西安当回事 | non-hate | non-hate [END]
你 | 放在春秋战国时期也算是混血了 | non-hate | non-hate [END]
黑人 | 黑人越多反而排名下降了 | Racism | hate [END]
中国 | 将重返世界第一的地位 | non-hate | non-hate [END]
氙钕 | 怕事情败露自己删了 | others | hate [END]
黑人 | 占领中国全靠生 | Racism | hate [END]
女的 | 很娇贵，会集群群殴，很危险 | Sexism | hate [END]
你 | 一看就是江苏的 | non-hate | non-hate [END]
南方人 | 对东北人的歧视是根深蒂固的 | Region | hate [END]
默囧 | 视频里不是同一个 | non-hate | non-hate [END]
混血 | 混了白皮猪的血 | Racism | hate [END]
与黑人有联系且找人接盘的人 | 跟着黑人还找人接盘，恶心人 | Racism | hate [END]
一群（人） | 什么事做不出来 | Sexism | hate [END]
你 | 一文不值 | non-hate | non-hate [END]
